실거래가,감정가,낙찰가,감정가_log,건물면적_log,실거래가_log,최저가율,낙찰가율,실거래가율,저평가율,낙찰률,유찰횟수_adj,월실거래건수,실거래상대지수_local,실거래상대지수_global,건물나이,층_high,층_low,층_mid,면적_대형,면적_소형,면적_중형,면적_초대형,구클_0,구클_1,구클_2,구클_3,구클_4
25000,26400,26500,10.18115717,3.309447523,10.1266711,100,100.3787879,94.6969697,-6,100.3787879,0,249,159.6,87.4,11,0,0,1,0,1,0,0,1,0,0,0,0
72700,75000,66116.6029,11.22525673,4.450269225,11.19411042,80,88.15547053,96.93333333,9.05556685,88.15547053,1,162,143.4,56.9,11,1,0,0,1,0,0,0,1,0,0,0,0
65000,63700,56249,11.06195554,4.446408894,11.08215793,80,88.30298273,102.0408163,13.46307692,88.30298273,1,162,143.4,56.9,31,0,0,1,1,0,0,0,1,0,0,0,0
139000,146000,151010.3,11.89136875,4.450736133,11.84223641,100,103.4317123,95.20547945,-8.640503597,103.4317123,0,85,109.6,29.8,24,1,0,0,1,0,0,0,0,0,1,0,0
153000,160000,167100,11.98293534,4.454114711,11.93819974,100,104.4375,95.625,-9.215686275,104.4375,0,407,173.6,142.9,5,1,0,0,1,0,0,0,0,0,0,1,0
70000,66900,58347,11.11096919,4.452494418,11.15626481,80,87.21524664,104.6337818,16.64714286,87.21524664,1,249,159.6,87.4,22,0,1,0,1,0,0,0,1,0,0,0,0
110000,130000,135399,11.77529742,4.45423101,11.60824474,80,104.1530769,84.61538462,-23.09,104.1530769,1,407,173.6,142.9,30,0,0,1,1,0,0,0,0,0,0,1,0
30000,30400,16849.3,10.32223078,2.820783471,10.30898599,51.2,55.42532895,98.68421053,43.83566667,55.42532895,3,414,202,145.3,5,0,0,1,0,1,0,0,0,0,0,1,0
95000,80400,86488.8,11.29478189,4.453998398,11.4616427,100,107.5731343,118.159204,8.959157895,107.5731343,0,171,146.6,60,28,0,0,1,1,0,0,0,1,0,0,0,0
135000,144000,127500.6,11.87757552,4.911772143,11.81303746,80,88.54208333,93.75,5.555111111,88.54208333,1,279,150.6,97.9,25,0,0,1,1,0,0,0,0,0,0,1,0
44000,50000,47389.2,10.81979828,4.431292876,10.69196764,80,94.7784,88,-7.702727273,94.7784,1,249,159.6,87.4,33,0,0,1,0,0,1,0,1,0,0,0,0
16284,30700,16500,10.33205051,2.823757009,9.697999718,51.2,53.74592834,53.04234528,-1.326455416,53.74592834,3,414,202,145.3,5,0,0,1,0,1,0,0,0,0,0,1,0
58000,58300,55476.0063,10.97337452,4.074821896,10.96821553,80,95.1561,99.48542024,4.351713276,95.1561,1,659,220.5,231.3,34,0,0,1,0,1,0,0,0,1,0,0,0
117000,140000,165000,11.84940484,4.450619426,11.66993776,100,117.8571429,83.57142857,-41.02564103,117.8571429,0,247,81.2,86.7,35,0,0,1,1,0,0,0,0,1,0,0,0
76000,82200,84788,11.31692275,3.927896355,11.23850178,100,103.1484185,92.45742092,-11.56315789,103.1484185,0,247,81.2,86.7,28,0,0,1,0,1,0,0,0,1,0,0,0
275500,249000,336999.999,12.42521219,4.45423101,12.52634654,100,135.3413651,110.6425703,-22.32304864,135.3413651,0,247,81.2,86.7,17,0,0,1,1,0,0,0,0,1,0,0,0
97500,95200,106300,11.46374572,4.101981989,11.48761791,100,111.6596639,102.4159664,-9.025641026,111.6596639,0,234,219.9,82.1,28,0,0,1,0,0,1,0,0,0,1,0,0
87500,96500,101300,11.47730865,4.110217911,11.3794055,100,104.9740933,90.67357513,-15.77142857,104.9740933,0,234,219.9,82.1,26,1,0,0,0,0,1,0,0,0,1,0,0
82000,106500,89100.01,11.57590965,4.452368596,11.31448672,64,83.66198122,76.99530516,-8.65854878,83.66198122,2,659,220.5,231.3,16,0,1,0,1,0,0,0,0,1,0,0,0
27700,28300,25000,10.25065242,3.421979921,10.22922379,80,88.33922261,97.87985866,9.747292419,88.33922261,1,65,118.4,22.8,6,0,0,1,0,1,0,0,1,0,0,0,0
51500,58500,30000,10.97679913,4.454249617,10.8493565,51.2,51.28205128,88.03418803,41.74757282,51.28205128,3,279,150.6,97.9,17,0,0,1,1,0,0,0,0,0,0,1,0
77000,76800,75799.9999,11.24897294,4.453998398,11.25157369,80,98.69791654,100.2604167,1.558441688,98.69791654,1,279,150.6,97.9,15,0,0,1,1,0,0,0,0,0,0,1,0
73000,69600,75000,11.15053421,4.645448032,11.19822842,100,107.7586207,104.8850575,-2.739726027,107.7586207,0,308,178.6,108.1,29,0,1,0,1,0,0,0,0,0,0,1,0
149000,137000,153000.0001,11.8277435,4.105284502,11.9117083,100,111.6788322,108.7591241,-2.684563826,111.6788322,0,155,66.3,54.4,28,0,1,0,0,0,1,0,0,1,0,0,0
118000,128000,135777,11.75979336,4.431054866,11.67844838,100,106.0757813,92.1875,-15.06525424,106.0757813,0,247,81.2,86.7,30,1,0,0,0,0,1,0,0,1,0,0,0
71000,93600,80612,11.44679635,4.396052806,11.17044924,80,86.12393162,75.85470085,-13.53802817,86.12393162,1,247,81.2,86.7,21,0,0,1,0,0,1,0,0,1,0,0,0
149950,152400,122520,11.93427048,5.111144059,11.91806385,80,80.39370079,98.39238845,18.29276425,80.39370079,1,499,212,175.2,27,1,0,0,0,0,0,1,0,1,0,0,0
191703,181000,166405,12.10625784,4.926963788,12.16370779,80,91.93646409,105.9132597,13.19645493,91.93646409,1,128,64.2,70.5,25,1,0,0,0,0,0,1,0,0,0,1,0
208360,194000,187580,12.17561859,5.013830185,12.24702743,80,96.69072165,107.4020619,9.97312344,96.69072165,1,128,64.2,70.5,22,0,0,1,0,0,0,1,0,0,0,1,0
98000,102500,105677.5,11.53762783,4.453067408,11.49273296,100,103.1,95.6097561,-7.834183673,103.1,0,128,64.2,70.5,33,0,1,0,1,0,0,0,0,0,0,1,0
65000,66500,60390,11.10497226,4.45423101,11.08215793,80,90.81203008,97.7443609,7.092307692,90.81203008,1,222,119.8,122.3,26,0,1,0,1,0,0,0,0,0,0,1,0
65000,78000,63951,11.26447693,4.452950973,11.08215793,80,81.98846154,83.33333333,1.613846154,81.98846154,1,128,64.2,70.5,21,1,0,0,1,0,0,0,0,0,0,1,0
88500,84800,77583,11.34806261,4.453207112,11.39076913,80,91.48938679,104.3632075,12.33559322,91.48938679,1,379,132.1,208.8,20,0,1,0,1,0,0,0,0,0,0,1,0
62700,61000,61505,11.01864554,4.110217911,11.04613268,100,100.8278689,102.7868852,1.905901116,100.8278689,0,143,122.6,78.8,29,0,1,0,0,0,1,0,1,0,0,0,0
15000,13000,11011.3,9.472781557,2.594881503,9.615872145,80,84.70230769,115.3846154,26.59133333,84.70230769,1,150,121.3,82.6,10,0,0,1,0,1,0,0,1,0,0,0,0
77500,86100,74099.9999,11.3632763,4.752555173,11.25804612,64,86.06271765,90.0116144,4.387096903,86.06271765,2,240,117.1,132.2,25,0,0,1,1,0,0,0,0,0,0,1,0
80000,62600,54119,11.04453653,4.135486506,11.28979441,80,86.45207668,127.7955272,32.35125,86.45207668,1,379,132.1,208.8,37,0,1,0,0,0,1,0,0,0,0,1,0
114000,111000,111676.2,11.61729449,4.45423101,11.6439625,80,100.6091892,102.7027027,2.038421053,100.6091892,1,360,154.7,198.3,14,0,0,1,1,0,0,0,0,0,0,1,0
61000,92600,74333.3333,11.43605522,4.72765327,11.01864554,80,80.27357808,65.87473002,-21.85792344,80.27357808,1,240,117.1,132.2,22,1,0,0,1,0,0,0,0,0,0,1,0
37500,39500,35666.6,10.58408127,3.845241972,10.53212288,80,90.29518987,94.93670886,4.889066667,90.29518987,1,379,132.1,208.8,37,0,0,1,0,1,0,0,0,0,0,1,0
45000,38600,36000,10.56103346,3.709661993,10.71443999,80,93.2642487,116.5803109,20,93.2642487,1,132,116.8,72.7,29,0,1,0,0,1,0,0,1,0,0,0,0
72000,70900,69500,11.16903982,4.104294893,11.18443529,80,98.02538787,101.551481,3.472222222,98.02538787,1,93,117.6,51.2,15,0,1,0,0,0,1,0,1,0,0,0,0
18000,20000,16799,9.903537551,2.524127363,9.798182591,64,83.995,90,6.672222222,83.995,2,240,117.1,132.2,5,0,0,1,0,1,0,0,0,0,0,1,0
95000,106000,90010,11.57120381,5.017081142,11.4616427,80,84.91509434,89.62264151,5.252631579,84.91509434,1,222,119.8,122.3,26,1,0,0,0,0,0,1,0,0,0,1,0
49500,50000,41879.9999,10.81979828,4.110709916,10.80974815,80,83.7599998,99,15.3939396,83.7599998,1,143,122.6,78.8,31,0,0,1,0,0,1,0,1,0,0,0,0
116500,143000,141592,11.8706069,4.98750313,11.66565514,80,99.01538462,81.46853147,-21.53819742,99.01538462,1,158,52,87,19,1,0,0,0,0,0,1,0,1,0,0,0
143000,155000,157325,11.95118685,4.453533011,11.8706069,80,101.5,92.25806452,-10.01748252,101.5,1,98,92.1,54,27,1,0,0,1,0,0,0,0,0,1,0,0
98500,90000,90320,11.40757606,4.452368596,11.49782198,100,100.3555556,109.4444444,8.304568528,100.3555556,0,356,119.1,196.1,14,0,1,0,1,0,0,0,0,1,0,0,0
47400,51700,44482.6,10.8532324,4.448035559,10.7663986,80,86.03984526,91.6827853,6.154852321,86.03984526,1,72,131.1,39.7,22,0,1,0,1,0,0,0,1,0,0,0,0
205000,222000,222200,12.31043717,4.449848821,12.23077014,100,100.0900901,92.34234234,-8.390243902,100.0900901,0,38,114.6,20.9,8,0,0,1,1,0,0,0,1,0,0,0,0
95000,97800,100099.99,11.49069008,4.11038194,11.4616427,80,102.351728,97.13701431,-5.368410526,102.351728,1,208,104.2,114.6,30,0,1,0,0,0,1,0,0,0,0,1,0
80000,80000,74001,11.28979441,4.453358435,11.28979441,80,92.50125,100,7.49875,92.50125,1,222,119.8,122.3,24,0,0,1,1,0,0,0,0,0,0,1,0
54000,54000,43373,10.89675784,4.097838451,10.89675784,64,80.32037037,100,19.67962963,80.32037037,0,72,131.1,39.7,29,0,1,0,0,0,1,0,1,0,0,0,0
61000,63500,57787.77,11.05881093,4.450736133,11.01864554,80,91.0043622,96.06299213,5.26595082,91.0043622,1,379,132.1,208.8,19,0,0,1,1,0,0,0,0,0,0,1,0
94500,95400,89099,11.46584434,4.453533011,11.4563657,80,93.3951782,99.05660377,5.715343915,93.3951782,1,360,154.7,198.3,6,1,0,0,1,0,0,0,0,0,0,1,0
89500,99400,86279.2111,11.50691745,4.633757643,11.40200508,80,86.80001117,90.04024145,3.598646816,86.80001117,1,132,116.8,72.7,15,1,0,0,1,0,0,0,1,0,0,0,0
53000,53200,51530,10.88183247,4.107425302,10.87806606,80,96.86090226,99.62406015,2.773584906,96.86090226,1,360,154.7,198.3,31,0,0,1,0,0,1,0,0,0,0,1,0
119900,122000,124111,11.71178452,4.453998398,11.69442168,80,101.7303279,98.27868852,-3.512093411,101.7303279,1,201,102.3,110.7,22,1,0,0,1,0,0,0,0,1,0,0,0
86500,79500,61892.2,11.28352488,5.000450269,11.36791125,64,77.8518239,108.8050314,28.4483237,77.8518239,2,143,122.6,78.8,33,0,1,0,0,0,0,1,1,0,0,0,0
105000,104000,93258.08,11.55215579,4.45423101,11.56172515,64,89.67123077,100.9615385,11.18278095,89.67123077,2,201,102.3,110.7,30,0,1,0,1,0,0,0,0,1,0,0,0
92000,94400,84370,11.45530695,4.675162558,11.42955473,80,89.375,97.45762712,8.293478261,89.375,1,379,132.1,208.8,36,0,0,1,1,0,0,0,0,0,0,1,0
45500,45500,37600.217,10.72548958,4.105449342,10.72548958,80,82.63783956,100,17.36216044,82.63783956,1,379,132.1,208.8,36,0,1,0,0,0,1,0,0,0,0,1,0
18000,20000,17019.9999,9.903537551,2.524127363,9.798182591,64,85.0999995,90,5.444445,85.0999995,2,240,117.1,132.2,5,0,0,1,0,1,0,0,0,0,0,1,0
61800,68000,61201,11.12727769,4.453882072,11.03167482,80,90.00147059,90.88235294,0.969255663,90.00147059,1,132,116.8,72.7,28,0,0,1,1,0,0,0,1,0,0,0,0
94500,93300,93777.2,11.4435861,4.453882072,11.4563657,80,100.5114684,101.2861736,0.764867725,100.5114684,1,379,132.1,208.8,37,0,0,1,1,0,0,0,0,0,0,1,0
133094,105800,111880,11.56931525,4.279440046,11.79881844,100,105.7466919,125.7977316,15.9391107,105.7466919,0,356,119.1,196.1,41,0,0,1,0,0,1,0,0,1,0,0,0
9300,12300,10656.9136,9.417435839,2.927935115,9.1378772,80,86.64157398,75.6097561,-14.59046882,86.64157398,1,356,119.1,196.1,11,0,1,0,0,1,0,0,0,1,0,0,0
51500,58000,54100,10.96821553,4.099995234,10.8493565,80,93.27586207,88.79310345,-5.048543689,93.27586207,1,279,121.9,153.7,31,0,0,1,0,0,1,0,0,0,0,1,0
83000,68300,89999.9,11.13167969,3.865979067,11.32660793,100,131.7714495,121.522694,-8.433614458,131.7714495,0,208,104.2,114.6,32,0,0,1,0,1,0,0,0,0,0,1,0
73700,75000,75100,11.22525673,4.110709916,11.20777165,80,100.1333333,98.26666667,-1.899592944,100.1333333,1,150,121.3,82.6,20,1,0,0,0,0,1,0,1,0,0,0,0
69500,66700,57801,11.10797522,4.44370952,11.14909642,80,86.65817091,104.197901,16.83309353,86.65817091,1,360,154.7,198.3,20,0,0,1,1,0,0,0,0,0,0,1,0
59000,46000,40610,10.73641841,4.453533011,10.98530967,64,88.2826087,128.2608696,31.16949153,88.2826087,2,143,122.6,78.8,30,0,1,0,1,0,0,0,1,0,0,0,0
45000,42700,37695.5,10.66197762,4.107425302,10.71443999,80,88.27985948,105.3864169,16.23222222,88.27985948,1,93,117.6,51.2,25,0,0,1,0,0,1,0,1,0,0,0,0
53500,58900,53760.3101,10.98361335,4.427,10.88745562,80,91.27387114,90.83191851,-0.486560935,91.27387114,1,379,132.1,208.8,32,0,1,0,0,0,1,0,0,0,0,1,0
95000,83200,67128.8,11.32901465,4.833579847,11.4616427,80,80.68365385,114.1826923,29.33810526,80.68365385,1,143,122.6,78.8,22,0,0,1,1,0,0,0,1,0,0,0,0
60000,65000,62651,11.08215793,4.106931678,11.00211651,80,96.38615385,92.30769231,-4.418333333,96.38615385,1,132,116.8,72.7,28,0,0,1,0,0,1,0,1,0,0,0,0
76624,87200,79210,11.37597108,4.316687793,11.24667867,80,90.83715596,87.87155963,-3.374921696,90.83715596,1,379,132.1,208.8,38,1,0,0,0,0,1,0,0,0,0,1,0
100000,99800,99299.999,11.51093348,4.45423101,11.51293546,80,99.49899699,100.2004008,0.700001,99.49899699,1,379,132.1,208.8,5,0,0,1,1,0,0,0,0,0,0,1,0
189000,184000,190900,12.12269647,4.445470807,12.14950759,100,103.75,102.7173913,-1.005291005,103.75,0,356,119.1,196.1,6,0,1,0,1,0,0,0,0,1,0,0,0
81000,82100,78125,11.31570548,4.453998398,11.30221678,80,95.15834348,98.66017052,3.549382716,95.15834348,1,356,119.1,196.1,25,0,1,0,1,0,0,0,0,1,0,0,0
187000,205500,189990.1,12.23320618,4.8128508,12.13886924,80,92.45260341,90.99756691,-1.598983957,92.45260341,1,356,119.1,196.1,6,1,0,0,1,0,0,0,0,1,0,0,0
68000,65900,66000,11.09590889,4.442886523,11.12727769,80,100.1517451,103.1866464,2.941176471,100.1517451,1,356,119.1,196.1,20,0,1,0,1,0,0,0,0,1,0,0,0
98000,100000,97260,11.51293546,4.454312412,11.49273296,80,97.26,98,0.755102041,97.26,1,98,92.1,54,19,0,0,1,1,0,0,0,0,0,1,0,0
